generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
3320000,shrevei,NA,39.3758,0.216891,-0.012168,0.243763,0
3330000,grahami,hendersoni,0,0.179047,-0.0401409,0.00303094,0
3330000,cyanopleurus,cupeyalensis,41.0805,0.125777,0.0228818,0.141507,0
3330000,porcus,NA,46.5,0.240857,-0.0131412,0.192508,0
3340000,grahami,hendersoni,0,0.212166,-0.0350745,0.0258418,0
3350000,grahami,hendersoni,0,0.197695,-0.0428703,0.00944021,0
3360000,grahami,hendersoni,0,0.125623,-0.0261483,0.00410209,0
3360000,cristatellus,NA,37.6319,0.107418,0.0305988,0.02484,0
3370000,grahami,hendersoni,0,0.20879,-0.039622,0.00830498,0
3380000,grahami,hendersoni,0,0.242278,-0.0446652,0.0201166,0
3390000,grahami,hendersoni,0,0.213575,-0.0388942,0.0138604,0
3400000,grahami,hendersoni,0,0.177234,-0.0350227,0.00385629,0
3410000,grahami,hendersoni,0,0.243108,-0.0464835,0.0232093,0
3420000,grahami,hendersoni,0,0.209741,-0.042869,0.00712945,0
3430000,grahami,hendersoni,0,0.166466,-0.0316518,0.0044097,0
3440000,grahami,hendersoni,0,0.235772,-0.0490451,0.0183339,0
3450000,grahami,hendersoni,0,0.171073,-0.0319619,0.0152748,0
3460000,grahami,hendersoni,0,0.170946,-0.0328032,0.0212643,0
3470000,grahami,hendersoni,0,0.224495,-0.0401689,0.011208,0
